p_id,Name,Brand,Price,DiscountedPrice,Category,SubCategory,Quantity,Description,BreadCrumbs
dmart1101,"Chitale Keshar Flavoured Milk",Chitale,25,23,"Dairy & Beverages",Dairy,"200 ml","OverviewChitale flavored milk is refreshing milk with flavor of Keshar. It is an easy to use delicious drink that refreshes you immediately with goodness of milk.Key Features- Refreshing drink packed with the goodness of milk.- Available in easy to use PET bottles.- It has a good shelf life.IngredientsToned Milk, Sugar, Food Colour, Added Flavour.Application- To be taken directly. Reday To Drink.- Taste best when Chilled.- Shake well Before use.- Do not buy liaky, puffed or if cap seal broken bottels.- Do not consume if milk appears curdled.Storage conditionStore in cool and dry place. Refrigeration not required until bottled not opens.Shelf lifeBest before 6 months from Packaging date.About the BrandThe rich Chitale legacy traces back to the 1939 with a humble milk distribution business at Bhilawadi in Sangli district in Maharashtra. The beginning of the 1950s was marked by the establishment of Chitale Bandhu Mithaiwale. Having consistently delivered a tasteful, fresh and nourishing experience for more than six decades, the company has successfully crafted a brand identity that's truly unique!","Dairy & Beverages > Dairy"
dmart1102,"Nescafe Classic Coffee Jar",Nescafe,610,565,"Dairy & Beverages",Beverages,"200 gm","
Note : Freebie item (either Red Mug or Thermal Mug) will be sent out basis stock availability.
","Dairy & Beverages > Beverages"
dmart1103,"Cadbury Bournvita 5 Star Magic Health Drink","Cadbury Bournvita",333,253,"Dairy & Beverages",Beverages,"750 gm",India,"Dairy & Beverages > Beverages"
dmart1104,"Colombian Brew Green Coffee",Colombian,99,49,"Dairy & Beverages",Beverages,"10 U","OverviewInspired by Francisco Romero, who started Colombia&rsquo;s 16th century coffee revolution. The beans are handpicked from the best coffee plantations of the world by coffee masters.Key Features- 100% Arabica - Fresh Brew - No sugar - KetoHow to UseHow to brew cold: 1 Coffee Bag for Cold Brew. Add to one glass water. Keep overnight. Remove bag and drink. Hot: Heat one cup of water. Add a coffee bag. Wait for 5 minutes. Remove bag and drink.Benefits- 2 cups of coffee a day, based on studies done by leading medical journals and universities : - Relieves muscle pain after work out by 48%. - Protection against liver cirrhosis. - Lower risk of diabetes and heart diseases. - Makes you energetic.Other must know InformationAllergen advice - Manufactured in a facility that also processes peanuts, tree nuts, sesame, soy & dairy products.Storage InstructionsStore in a cool, dry & hygienic place.","Dairy & Beverages > Beverages"
dmart1105,"Protinex Original",Proteinex,1080,852,"Dairy & Beverages",Beverages,"750 gm","OverviewProtinex Original is a ready-to-serve beverage mix that helps meet the nutrient requirements of Indian Adults. Protinex is the one of the perfect partner for you in the race of life. It has zero trans-fats and contains high protein + 8 immuno nutrients making it an excellent addition to your diet.Key Features- It is the only supplement with Hydrolysed Protein- It has 8 Immuno Nutrients- Helps bridge protein gap from dietBenefits- Protein for growth and maintenance of muscle mass.- Vitamin B1 &amp; B2 to help in metabolism.- Vitamin A, C, D, E, B12 &amp; Folate to support immunity.- Iron maintains the normal function of the immune system.IngredientsHigh Protein Content - 32 G Protein Per 100 G, Contains Hydrolysed Peanut Protein (Suitable For Easy Digestion), Low In Fat, Fortified With Vitamins And Minerals. 100% VegHow to Use- Take a mug of lukewarm or cold milk (200ml).- Add 2-3 heaped tablespoon of Protinex Original.- Stir well before drinking.About the BrandProtinex has more than 60 years experience in partnering Indian Adults in their Nutrition Journey; contains Acti-Pro5 to provide protein-rich nutrition for everyday nutritional needsDisclaimer If AnyDisclaimers: Protinex contains nutrients that support immune function, Nutrition and Health Claims &ndash; European Commission, 2016 Protinex contains nutrients that support energy&not; yielding metabolism and reduce tiredness and fatigue.Protinex should be consumed as part of a well balanced diet and healthy lifestyle.","Dairy & Beverages > Beverages"
dmart1106,"Cadbury Bournvita Health Drink Refill","Cadbury Bournvita",320,239,"Dairy & Beverages",Beverages,"750 gm","
Cadbury Bournvita is a delicious chocolate health drink which is enriched with Vitamin (D,B2,B9,B12). It combines the great taste of chocolate, and goodness of essential nutrients that aid growth and development. Bournvita is a malted chocolate drink mix that can be enjoyed piping hot or deliciously cold. Try blending Bournvita with milk and ice cream to make a chocolate milkshake that is delectable and nutritious.
","Dairy & Beverages > Beverages"
dmart1107,"Horlicks Health & Nutrition Drink Refill - Chocolate",Horlicks,425,310,"Dairy & Beverages",Beverages,"1 kg",India,"Dairy & Beverages > Beverages"
dmart1108,"Horlicks Health & Nutrition Drink Refill - Chocolate",Horlicks,339,224,"Dairy & Beverages",Beverages,"750 gm",India,"Dairy & Beverages > Beverages"
dmart1109,"Amul Pro Whey Protein Malt Chocolate Drink",Amul,175,135,"Dairy & Beverages",Beverages,"500 gm","
Amul PRO is a malt based milk additive, which not only enhances milkâ€™s nutritive value but also makes milk a very tasty drink for people of all ages, especially kids, who need milk and nutrition for healthy growth. It comes from the House of Amul, the brand which is known all over for providing quality products at value for money price.

- Whey Protein is the purest and most essential form of protein
- Whey Protein is often referred to as Fast Protein as it provides quick nourishment to muscles.
","Dairy & Beverages > Beverages"
dmart111,Daliya,,30,25,Grocery,Dals,"200 gm",India,"Grocery > Dals"
dmart1110,"Cadbury Bournvita Health Drink Refill","Cadbury Bournvita",214,185,"Dairy & Beverages",Beverages,"500 gm","
Cadbury Bournvita is a delicious chocolate health drink which is enriched with Vitamin (D,B2,B9,B12). It combines the great taste of chocolate, and goodness of essential nutrients that aid growth and development. Bournvita is a malted chocolate drink mix that can be enjoyed piping hot or deliciously cold. Try blending Bournvita with milk and ice cream to make a chocolate milkshake that is delectable and nutritious.
","Dairy & Beverages > Beverages"
dmart1111,"Cadbury Bournvita Jar","Cadbury Bournvita",420,385,"Dairy & Beverages",Beverages,"1 kg","
Cadbury Bournvita is a delicious chocolate health drink which is enriched with Vitamin (D,B2,B9,B12). It combines the great taste of chocolate, and goodness of essential nutrients that aid growth and development. Bournvita is a malted chocolate drink mix that can be enjoyed piping hot or deliciously cold. Try blending Bournvita with milk and ice cream to make a chocolate milkshake that is delectable and nutritious.
","Dairy & Beverages > Beverages"
dmart1112,"Cadbury Bournvita Health Drink Refill","Cadbury Bournvita",30,27,"Dairy & Beverages",Beverages,"75 gm","OverviewCadbury Bournvita is a nutrition brand with a 70 year legacy in India. Cadbury Bournvita is a health food drink with inner strength formula which has nutrients that support - Immune system (8 immunity nutrients), Strong bones (Vitamin D, Phosphorous), Strong muscles (Protein, Vitamin D) and Active Brain (Iron, Iodine, Vitamin B2, Vitamin B12). Recommended 2 serves per day as part of a balanced diet and a healthy lifestyle.IngredientsCereal extract (51 %*), Sugar, Cocoa Solids, Milk Solids, Liquid Glucose, Emulsifiers (322, 471), Raising agent (500(ii)), Vitamins, Minerals, Salt. Contains Permitted natural colour (150 c) and Added flavour (Artificial (Vanilla) flavouring Substances).Storage&nbsp;Store in a cool and dry place.","Dairy & Beverages > Beverages"
dmart1113,"Horlicks Health & Nutrition Drink Refill - Classic Malt",Horlicks,260,235,"Dairy & Beverages",Beverages,"500 gm","Key Features- Health Drink that has nutrients to support immunity. - Clinically proven to improve 5 signs of growth - Clinically proven to make kids Taller, Stronger & Sharper- Scientifically proven to improve Power of Milk- It helps in holistic development of Children- Horlicks has Bio-Available Nutrients which get absorbed in the blood and are carried to all parts of the body.How To UseHOT : Stir 20g (Approx. 2 heaped spoonful) of Horlicks into a cup of hot milkCOLD : Stir 20g (Approx. 2 heaped spoonful) of Boost to a little warm milk, top up with chilled milkIngredientsMalt (66.7%) [Barley (32%), Wheat Flour (Atta), Wheat, Millet], Milk Solids (14%), Sugar, Wheat Gluten, Minerals, Edible Iodized Salt, Soy Protein Isolate, Acidity Regulators [INS 501(ii), 500(ii)], Vitamins.About the BrandHorlicks is a Health Drink that has nutrients to support immunity Horlicks is clinically proven to improve 5 signs of growth and is clinically proven to make kids taller, stronger and sharper. Horlicks is scientifically proven to improve power of milk Horlicks is now available in 4 exciting and yummy flavors - Classic malt, Chocolate, Elaichi, Kesar Badam Enjoy with a cup of hot milk or a glass of cold milk Horlicks is a leading force in the Â‘Science of FoodÂ’ Horlicks has Bio-Available Nutrients* meaning Â– Nutrients* More Available for Growth. These get absorbed in the blood and are carried to all parts of the body Horlicks contains 9 nutrients (Vit B6, B12, C, D, Copper, Folic Acid, Iron, Selenium and Zinc) which are scientifically proven to support immunity Increases the density of minerals such as^ calcium in bones to give children bigger and stronger bones Horlicks is clinically proven to increase^ lean tissue, making children Â“strongerÂ” Helps improve attention and concentration^ to make your child sharper Horlicks is clinically proven for more^ haemopoietic nutrients in the blood Â“Healthier BloodÂ” refers to improvement in the levels of blood health related nutrients (Vitamin A & Folate) in circulation Horlicks is clinically proven to increase^ fat-free mass, making child stronger","Dairy & Beverages > Beverages"
dmart1114,"Horlicks Health & Nutrition Drink Refill - Classic Malt",Horlicks,379,338,"Dairy & Beverages",Beverages,"750 gm","Key Features- Health Drink that has nutrients to support immunity. - Clinically proven to improve 5 signs of growth - Clinically proven to make kids Taller, Stronger & Sharper- Scientifically proven to improve Power of Milk- It helps in holistic development of Children- Horlicks has Bio-Available Nutrients which get absorbed in the blood and are carried to all parts of the body.How To UseHOT : Stir 20g (Approx. 2 heaped spoonful) of Horlicks into a cup of hot milkCOLD : Stir 20g (Approx. 2 heaped spoonful) of Boost to a little warm milk, top up with chilled milkIngredientsMalt (66.7%) [Barley (32%), Wheat Flour (Atta), Wheat, Millet], Milk Solids (14%), Sugar, Wheat Gluten, Minerals, Edible Iodized Salt, Soy Protein Isolate, Acidity Regulators [INS 501(ii), 500(ii)], Vitamins.About the BrandHorlicks is a Health Drink that has nutrients to support immunity Horlicks is clinically proven to improve 5 signs of growth and is clinically proven to make kids taller, stronger and sharper. Horlicks is scientifically proven to improve power of milk Horlicks is now available in 4 exciting and yummy flavors - Classic malt, Chocolate, Elaichi, Kesar Badam Enjoy with a cup of hot milk or a glass of cold milk Horlicks is a leading force in the Â‘Science of FoodÂ’ Horlicks has Bio-Available Nutrients* meaning Â– Nutrients* More Available for Growth. These get absorbed in the blood and are carried to all parts of the body Horlicks contains 9 nutrients (Vit B6, B12, C, D, Copper, Folic Acid, Iron, Selenium and Zinc) which are scientifically proven to support immunity Increases the density of minerals such as^ calcium in bones to give children bigger and stronger bones Horlicks is clinically proven to increase^ lean tissue, making children Â“strongerÂ” Helps improve attention and concentration^ to make your child sharper Horlicks is clinically proven for more^ haemopoietic nutrients in the blood Â“Healthier BloodÂ” refers to improvement in the levels of blood health related nutrients (Vitamin A & Folate) in circulation Horlicks is clinically proven to increase^ fat-free mass, making child stronger","Dairy & Beverages > Beverages"
dmart1115,"Cadbury Bournvita Health Drink Refill","Cadbury Bournvita",395,306,"Dairy & Beverages",Beverages,"1 kg","
Cadbury Bournvita is a delicious chocolate health drink which is enriched with Vitamin (D,B2,B9,B12). It combines the great taste of chocolate, and goodness of essential nutrients that aid growth and development. Bournvita is a malted chocolate drink mix that can be enjoyed piping hot or deliciously cold. Try blending Bournvita with milk and ice cream to make a chocolate milkshake that is delectable and nutritious.
","Dairy & Beverages > Beverages"
dmart1116,"Pediasure Nutritional Powder - Premium Chocolate Flavour",Pediasure,590,535,"Dairy & Beverages",Beverages,"400 gm","
Height and Weight Gain
- PediaSure contains growth nutrients that provide complete, balanced nutrition and is scientifically shown to increase height and weight

Immunity
- PediaSure contains immunonutrients: Pre & Probiotics, zinc, selenium, copper, vitamin A, C & E

Brain Development
- PediaSure contains neuronutrients - linoleic acid, alpha linolenic acid, vitamin B12, folic acid, iron, iodine, choline and taurine

Comes in Premium Chocolate flavour.

Note : Product in stock will be delivered basis availability
","Dairy & Beverages > Beverages"
dmart1117,"Horlicks Health & Nutrition Drink Refill - Classic Malt",Horlicks,490,439,"Dairy & Beverages",Beverages,"1 kg","
Horlicks is a Health Drink that has nutrients to support immunity. Horlicks is clinically proven to improve 5 signs of growth and is clinically proven to make kids taller, stronger and sharper. Horlicks is scientifically proven to improve the power of milk. Horlicks is now available in 2 exciting and yummy flavors - Classic malt and Chocolate. Enjoy with a cup of hot milk or a glass of cold milk.

Features & Benefits :
- Health Drink that has nutrients to support immunity
- Clinically proven to improve 5 signs of growth
- Clinically proven to make kids Taller, Stronger & Sharper
- Scientifically proven to improve Power of Milk
- It helps in the holistic development of Children
- Horlicks has Bio-Available Nutrients which get absorbed in the blood and are carried to all parts of the body.

Usage Directions :
- Hot : Stir 20 gms (Approx. 2 heaped spoonful) of Boost into a cup of hot milk
- Cold : Stir 20 gms (Approx. 2 heaped spoonful) of Boost to a little warm milk, top up with chilled milk
","Dairy & Beverages > Beverages"
dmart1118,"Pediasure Nutritional Powder - Premium Chocolate Flavour",Pediasure,1080,965,"Dairy & Beverages",Beverages,"750 gm","
Note : Product in stock will be delivered basis availability
","Dairy & Beverages > Beverages"
dmart1119,"Complan Chocolate Health Drink",Complan,540,399,"Dairy & Beverages",Beverages,"1 kg","
- 100% milk protein
- Complete planned milk drink
- Chocolate Flavored

*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
","Dairy & Beverages > Beverages"
dmart112,Daliya,,72,59,Grocery,Dals,"500 gm",India,"Grocery > Dals"
dmart1120,"Pediasure Nutritional Powder - Premium Chocolate Flavour",Pediasure,1375,1221,"Dairy & Beverages",Beverages,"1 kg","
Height and Weight Gain
- PediaSure contains growth nutrients that provide complete, balanced nutrition and is scientifically shown to increase height and weight

Immunity
- PediaSure contains immunonutrients: Pre & Probiotics, zinc, selenium, copper, vitamin A, C & E

Brain Development
- PediaSure contains neuronutrients - linoleic acid, alpha linolenic acid, vitamin B12, folic acid, iron, iodine, choline and taurine

Comes in Premium Chocolate flavour.

Note : Product in stock will be delivered basis availability
","Dairy & Beverages > Beverages"
dmart1121,"Protinex Original Health Drink",Protinex,635,560,"Dairy & Beverages",Beverages,"400 gm","OverviewProtinex Original is a nutritional beverage for adults. It can be consumed by people to maintain overall health and well being and by individuals suffering from an illness or are in recovery phase.Key Features- Only supplement with Hydrolysed Protein- 8 Immuno Nutrients- Bridges protein gap from dietBenefits-Supports lean mass-Supports immune function-Helps reduce tiredness and fatigue-Helps build stamina-Helps maintain gut integrityHow to Use- Take a glass of lukewarm or cold milk (200 ml).- Add 2-3 heaped tablespoonof Protinex Original. - Stir well before drinking. You can also take Protinex Original with curd, corn flakes or porridge.Recommended Dosage1 serving (25 g) per dayFAQs1. What kind of protein is present in Protinex Original?It contains hydrolysed peanut protein.2. How many calories are there in one serving of Protinex Original?25 g of powder gives 92 kcal.3. Are there any side effects of Protinex Original?There are no documented side effects of Protinex original, however it is not recommended for people allergic to peanut.About the BrandProtinex is one of the India's most prescribed nutritional supplements, and the only unique supplement with the power of Hydrolysed Proteins.","Dairy & Beverages > Beverages"
dmart1122,"Complan Chocolate Health Drink",Complan,289,250,"Dairy & Beverages",Beverages,"500 gm","
- 100% milk protein
- Complete planned milk drink
- Chocolate Flavored

*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
","Dairy & Beverages > Beverages"
dmart1123,"Protinex Vanilla Flavour",Protinex,599,505,"Dairy & Beverages",Beverages,"400 gm","IngredientsSkimmed Milk Powder, Maltodextrin, Soy Protein Isolate, Minerals (Dicalcium Phosphate, Ferric Pyrophosphate, Zinc Sulfate, Potassium Iodide), Stabilizer (Guar Gum), Vitamins (Choline Bitartrate, Ascorbic Acid, Nicotinamide, Dl-Alpha Tocopheryl Acetate, Retinyl Acetate, Riboflavin, Thiamine Hydrochloride, Ergocalciferol, Calcium Pantothenate, Pyridoxine Hydrochloride, Folic Acid, Biotin, Artificial Sweetener (E 9551)Other must know InformationBest before 12 months from the manufacturing date, Use a clean and dry spoon.Storage InstructionsStore in a cool, dry, and hygienic place","Dairy & Beverages > Beverages"
dmart1124,"Women's Horlicks Health & Nutrition Drink - Chocolate",Horlicks,325,265,"Dairy & Beverages",Beverages,"400 gm","Key Features- Calseal Formula - Bone Nutrition Specialist- Nutrients For Strong Bones- Clinically proven~ to help improve bone strength in 6 months- No Added Sugar - 100% Rda Of Calcium, Vitamins D & K2How To Use- Take 200 ml of hot milk. Add 30 g (Approx. 3 heaped spoonfuls) of Horlicks Women&rsquo;s Plus.- Stir quickly to mix well.IngredientsCereal Extract (46%) [Barley, Wheat, Malted Barley, Wheat Malt], Milk Solids (37%), Maltodextrin, Minerals, Edible Iodized Salt, Nature Identical Flavouring Substances, Vitamins, Artificial Sweetener (INS 950).Nutritional Information100% RDA Of Calcium, Vitamins D & K2About the BrandBones form the structural framework of the human body. Up until the age of 30, bone formation is faster than bone loss, which causes the skeleton to grow both in size and density, resulting in an overall increase in bone mass. After the age of 30, bone mineral density may start to decrease. Unfortunately, there are no visible signs of weak bones. They often go unnoticed over many years, with no symptoms or discomfort until a bone breaks. To maintain strong bones, you don&rsquo;t just need an adequate intake of Calcium, but also Vitamin D for Calcium absorption and Vitamin K2 for binding Calcium to bones, daily. Remember, Vitamin K2 is not commonly found in the Indian diet, and Vitamin D is not even available in your daily diet. Horlicks Women&rsquo;s Plus is a bone nutrition specialist powered with CALSEAL formula. It provides 100% RDA^ of Calcium, Vitamin D & Vitamin K2 requirements.Unique combination of Vitamin K2, Calcium and Vitamin D to support bone health.In 2 serves (60 g) as per ICMR 2010 Guidelines on WomenAdded sugar refers to Sucrose. 'CONTAINS NATURALLY OCCURRING SUGARS'.Horlicks Women&rsquo;s Plus is a nourishing beverage to be consumed as a part of regular diet.","Dairy & Beverages > Beverages"
dmart1125,"Pediasure Vanilla Delight",Pediasure,1375,1275,"Dairy & Beverages",Beverages,"1 kg","OverviewThis nutritional drink from Pediasure comes in a yummy vanilla flavour and contains 37 essential nutrients for boosting growth and immunity. The Pediasure powder formulation has been scientifically proven to improve and speed up height and weight increase, as well as improve brain development in children. It comes in a variety of flavours like Pediasure vanilla and Pediasure Chocolate, which makes it easy for all children to enjoy this nutritious drink.Benefits- Pediasure for kids is a convenient single solution for children to get their daily required vitamins, minerals, fats, carbs and proteins.- Visible growth can be seen within 90 days if consumed daily and according to the recommendation.- Probiotics included in the formula like Selenium, Copper, Zinc, Vitamin A, Vitamin E, Vitamin C, help to support the immune system naturally.- Brain development is assisted through ingredients like Linoleic Acid, Vitamin B12, Folic Acid and Taurine among others.- For fussy kids, the yummy Pediasure vanilla flavour is a great way to get their daily dose of vital nutrients as opposed to taking supplements and tablets.IngredientsPediasure powder contains Carbohydrates, Proteins, Calcium, B complex Vitamins, Milk Proteins (Skim Milk Powder), Zinc, Selenium, Probiotics, Fructo-oligosaccharide, Copper, Fatty Acids, ALA (Alpha-Linolenic Acid), Iron, Folic Acid, Iodine, Choline, Taurine and the Vitamins A, B12, C, D, E.How to Use- Add 2-3 scoops of Pediasure vanilla to a cup, along with 150ml of hot or cold milk. Stir well and drink.- If you are using water, add 5 scoops to 190ml of water instead.- Add a little bit of sugar for additional taste.Care Instructions- Read the label instructions carefully before preparing this drink.- Do not use it if the package is damaged.- Store in a cool and dry place away from humidity as that can cause clumping.Any Other Must-Know Information- For daily consumption with children who are typically fussy eaters and refuse to eat fruits/vegetables or are underweight.- For children with physically active lifestyle, or those with infections.","Dairy & Beverages > Beverages"
dmart1126,"Women's Horlicks Health & Nutrition Drink Jar - Caramel",Horlicks,325,270,"Dairy & Beverages",Beverages,"400 gm","Key Features- Calseal Formula - Bone Nutrition Specialist- Nutrients For Strong Bones- 100% RDA Of Calcium, Vitamins D & K2- Clinically proven~ to help improve bone strength in 6 months - No Added SugarHow To Use- Take 200 ml of hot milk. Add 30 g (Approx. 3 heaped spoonfuls) of Horlicks Women&rsquo;s Plus.- Stir quickly to mix well.IngredientsCereal Extract (46%) [Barley, Wheat, Malted Barley, Wheat Malt], Milk Solids (37%), Maltodextrin, Minerals, Edible Iodized Salt, Nature Identical Flavouring Substances, Vitamins, Artificial Sweetener (INS 950).About the BrandBones form the structural framework of the human body. Up until the age of 30, bone formation is faster than bone loss, which causes the skeleton to grow both in size and density, resulting in an overall increase in bone mass. After the age of 30, bone mineral density may start to decrease. Unfortunately, there are no visible signs of weak bones. They often go unnoticed over many years, with no symptoms or discomfort until a bone breaks. To maintain strong bones you don&rsquo;t just need an adequate intake of Calcium, but also Vitamin D for Calcium absorption and Vitamin K2 for binding Calcium to bones, daily. Remember, Vitamin K2 is not commonly found in the Indian diet, and Vitamin D is not even available in your daily diet. Horlicks Women&rsquo;s Plus is a bone nutrition specialist powered with CALSEAL formula. Horlicks Women&rsquo;s Plus provides 100% RDA^ of Calcium, Vitamin D & Vitamin K2 requirements. Horlicks Women&rsquo;s Plus is a nourishing beverage to be consumed as a part of regular diet. Unique combination of Vitamin K2, Calcium and Vitamin D to support bone health.Added sugar refers to Sucrose.'CONTAINS NATURALLY OCCURRING SUGARS'. In 2 serves (60 g) as per ICMR 2010 Guidelines on Women.","Dairy & Beverages > Beverages"
dmart1127,"Boost Refill Pack",Boost,219,203,"Dairy & Beverages",Beverages,"500 gm",India,"Dairy & Beverages > Beverages"
dmart1128,"Britannia Thick Dahi",Britannia,75,39,"Dairy & Beverages",Dairy,"400 gm","OverviewFresh and healthy, Britannia Thick Dahi (Cup) is thicker, tasty and healthy. Prepare your favourite smoothies or yogurt based curries with this plain Dahi.IngredientsPasteurized Toned Milk.Key Features- Fresh and healthy.- Rich in nutrients.ApplicationIt can be used to make Curd rice, kadi pakora and butter milk.Shelf LifeBest before 15 days from the date of packaging when stored at 4-8&deg;C.Storage ConditionStore at 4-8&deg;C in a cool and dry place.About the BrandBritannia Industries is one of India&rsquo;s leading food companies with a 100 year legacy. Britannia is among the most trusted food brands, and manufactures India&rsquo;s favorite brands like Good Day, Tiger, NutriChoice, Milk Bikis and Marie Gold which are household names in India.","Dairy & Beverages > Dairy"
dmart1129,"Amul Masti Dahi",Amul,42,39,"Dairy & Beverages",Dairy,"400 gm","Key FeaturesMade from wholesome milkExcellent source of good bacteriaAmul Masti Dahi is fresh and refreshingDisclaimerDespite our attempts to provide you with the most accurate information possible, the actual packaging, ingredients and colour of the product may sometimes vary. Please read the label, directions and warnings carefully before use.","Dairy & Beverages > Dairy"
dmart113,"Nutraj Daily Walnut Kernels",Nutraj,899,529,Grocery,"Dry Fruits","500 gm","Key Features- Nutraj brings to you a range of premium dry fruits.- Rich In Dietary Fibre: Walnuts are natural source of fibre, supports weight control.Handpicked, fresh, good sized, crunchy and wholesome raw akhort giri.- Premium Packaging: walnut kernels come in a mono carton vacuum-packed to retain freshness.- Delightful Flavour: Premium packaging keeps akhrot dry fruit crunchy and delicious.- These walnuts without shell have an earthy, fruity and mildly tart flavour with tender texture.","Grocery > Dry Fruits"
dmart1130,"Mother Dairy Mishti Doi","Mother Dairy",75,68,"Dairy & Beverages",Dairy,"400 gm","Overview:Mishti Doi has a calming and delightful flavour. It is vitamin A-fortified. It has an excellent nutritional profile and nutritional value. It aids in the cooling and digestion of one's system.Key FeaturesMade from pasteurised full cream milk, this sweetened dahi (curd) is delicious.Rich, creamy, and delectableStorage ConditionUnder Refrigeration (below 8 degree Celsius)About the BrandMother Dairy Fruit & Vegetable Pvt Ltd is an Indian food processing company that manufactures, markets and sells milk, milk products and other edible products. Mother Dairy was founded in 1974, as a wholly owned subsidiary of the National Dairy Development Board (NDDB).","Dairy & Beverages > Dairy"
dmart1131,"Cadbury Hot Chocolate Drinking Powder","Cadbury Cocoa Beverages",180,162,"Dairy & Beverages",Beverages,"200 gm",India,"Dairy & Beverages > Beverages"
dmart1132,"Gaia Sport Whey Irish Chocolate Protein",Gaia,2300,1299,"Dairy & Beverages",Beverages,"1 kg","OverviewComplete nutrition for muscles, Gaia Sport Whey Protein is power-packed with high-quality Whey Protein. Packed with an incredible range of essential amino acids needed for your body, this advanced formula accelerates post-workout muscle recovery. What&rsquo;s more? This helps increase muscle strength, enhances muscle-building, and helps build stamina and endurance. Ideal for bodybuilders, athletes, fitness enthusiasts, or anyone simply looking for protein intake in their diet.Key Features- High-quality protein and contains all essential amino acids needed by your body.- Contains L-Leucine which is a growth-promoting amino acid.- Rich source of BCAAs (Branched Chain Amino Acids).- Helps boost muscle growth and enhances exercise performance.- Helps build stamina and endurance.Other must know InformationKeep out of reach of children.Storage InstructionsStore in a cool & dry place.FAQWhy choose Gaia Whey Protein?Gaia Whey Protein is enriched with the highest quality of Whey Protein. It is processed using an advanced formula that accelerates the effectiveness of the protein and plays an integral role in post-workout muscle recovery. It provides BCAA&rsquo;s and is an ideal choice for bodybuilders, athletes, fitness enthusiasts, or anyone who is simply looking for added protein intake in their diet to meet the nutritional retirements.About the BrandLaunched in 2009 by Cosmetic Engineer and entrepreneur, Dolly Kumar, Gaia is a health and wellness brand from its parent company, Cosmic Nutracos Solutions. Gaia is amongst the pioneers in the health and wellness industry in India and with more than 81 products, ranging from specialized nutritional supplements to everyday healthy snacks. Within just a decade, Gaia has created a strong distribution network across India with a presence across 25k+ conventional retail outlets, 600+ Modern Trade outlets, Canteen Stores Department (CSD), Central Police Canteen (CPC) as well as in e-Commerce platforms. Gaia has also expanded its presence internationally to countries like Nepal, Bhutan, Myanmar, Cambodia, and others.","Dairy & Beverages > Beverages"
dmart1133,"ID Creamy Thick Curd - Dahi",ID,78,58,"Dairy & Beverages",Dairy,"400 gm",India,"Dairy & Beverages > Dairy"
dmart1134,"Pediasure Nutritional Powder - Vanilla Delight Flavour",Pediasure,590,545,"Dairy & Beverages",Beverages,"400 gm","
*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
","Dairy & Beverages > Beverages"
dmart1135,"Pediasure Nutritional Powder - Vanilla Delight Flavour",Pediasure,1080,975,"Dairy & Beverages",Beverages,"750 gm","OverviewPediaSure is a complete and balanced nutrition supplement for children of the age group (2 years and above). It has a perfect blend of 37 vital nutrients. It is scientifically designed for fussy eaters to take care of nutritional deficiencies and helps support their overall growth and development. PediaSure enjoys the trust of mothers and doctors in more than 80 countries around the world.Key Features- Pediasure provides complete and balanced nutrition.- Clinically proven to help increase height and weight for those who consume regularly.- Helps strengthen natural immunity.- Supports brain development.IngredientsSkim milk powder, sucrose, Edible Vegetable Oil, soy oil, high oleic sunflower oil, maltodextrin, medium-chain triglyceride oil, fructooligosaccharides, flavouring, minerals, Vitamins, m-inositol, taurine, Lactobacillus acidophilus, L-carnitine, Bifidobacterium.Benefits- PediaSure contains 37 nutrients that help support height & weight gain, immunity & brain development.- PediaSure gives Visible Growth in 90 Days.Other must know Information- Use the product within the given time period as mentioned on the product.- Do not freeze the powder and avoid excessive heating.Storage Instructions- Store in a cool and dry place.- Always keep the product tightly covered after every use.","Dairy & Beverages > Beverages"
dmart1136,"Hershey's Milk Booster Chocolate Flavor",Hershey's,200,174,"Dairy & Beverages",Beverages,"450 gm",India,"Dairy & Beverages > Beverages"
dmart1137,"Christopher Dark Cocoa Powder For Baking & Hot & Cold Drinks",Christopher,299,149,"Dairy & Beverages",Beverages,"200 gm","OverviewChristopher Cocoa Dark Cocoa is made using pure cacao beans and can be used to bake and make hot or cold drinks. Ingredients100% Pure Cacao Beans Key FeaturesNo sugarHandpicked from the best cacao plantations around the worldContains no sugar or preservativesCan be used to bake cakes and cookies or hot and cold beverages Health BenefitsAfter 2 cups of Cocoa a day:Elevates moodMakes you happy and energeticHelps you lose weightReduce fat, blood pressure and cholesterolBoost antioxidant and prevent cancer How to consumeFor baking: add as per the recipe requirement.For beverages: add 1 spoon to 125 ml of milk and add sugar as per taste. Storage conditionStore in a cool and dry place. Shelf lifeBest before 24 months from Packaging date.  Snowlan Epicure imagines & creates artisan brands in food, beverages, health & wellness. Their brands include Colombian Brew Coffee, Teddy Roosevelt, Cambridge Tea Party, Didier & Frank and Christopher Cocoa.","Dairy & Beverages > Beverages"
